Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.6974015,1.364695,9.626089,0.161771,9.723690,89.046738,81.930923
1.7023640,1.346030,9.632879,0.229192,9.729167,88.650146,82.045403
1.7073281,1.322260,9.631865,0.108917,9.722811,89.358147,82.183311
1.7122906,1.361946,9.534927,0.104483,9.632272,89.378487,81.870995
1.7172546,1.322672,9.586757,0.144035,9.678642,89.147308,82.144569
1.7222172,1.342515,9.599667,0.064500,9.693302,89.618752,82.038811
1.7271796,1.350493,9.613016,0.130446,9.708291,89.230118,82.003090
1.7321436,1.286941,9.585665,0.149398,9.672824,89.115021,82.353378
1.7371062,1.338359,9.592014,0.119825,9.685675,89.291153,82.056892
1.7420702,1.402571,9.597703,0.096027,9.700121,89.432793,81.685867
1.7470328,1.382508,9.633655,0.188845,9.734181,88.888382,81.833351
1.7519969,1.455435,9.627018,0.167834,9.737861,89.012451,81.402992
1.7569593,1.373372,9.604541,0.077907,9.702547,89.539932,81.862328
1.7619219,1.379664,9.596487,0.181653,9.696856,88.926605,81.818787
1.7668859,1.434271,9.579373,0.192532,9.688065,88.861282,81.484650
1.7718484,1.411037,9.645750,0.143729,9.749471,89.155304,81.677467
1.7768124,1.405684,9.617633,0.264435,9.723412,88.441612,81.684700
1.7817749,1.428955,9.654322,0.166550,9.760921,89.022316,81.580666
1.7867374,1.440649,9.681088,0.187246,9.789485,88.904022,81.535896
1.7917014,1.410329,9.645453,0.188194,9.749832,88.893990,81.681335
1.7966640,1.376484,9.685848,0.134353,9.784090,89.213203,81.911690
1.8016281,1.355999,9.605653,0.252598,9.704180,88.508430,81.964836
1.8065906,1.359150,9.627487,0.143872,9.724016,89.152245,81.964432
1.8115547,1.316342,9.555316,0.170850,9.647073,88.985237,82.156296
1.8165172,1.351671,9.530580,0.128674,9.626812,89.234146,81.927887
1.8214797,1.368880,9.643241,0.161388,9.741251,89.050705,81.920715
1.8264437,1.402274,9.645080,0.199753,9.748529,88.825897,81.727867
1.8314061,1.367875,9.671272,0.121127,9.768278,89.289513,81.949661
1.8363702,1.366936,9.534103,0.145998,9.632703,89.131561,81.840919
1.8413328,1.331550,9.581020,0.139457,9.674111,89.174019,82.087837
1.8462968,1.363239,9.633856,0.193394,9.731752,88.861313,81.945831
1.8512594,1.383274,9.580130,0.113313,9.680143,89.329300,81.783852
1.8562218,1.369857,9.638798,0.162681,9.737012,89.042686,81.911346
1.8611859,1.386635,9.623024,0.124393,9.723210,89.266968,81.800369
1.8661485,1.360874,9.601275,0.196583,9.699232,88.838654,81.932701
1.8711123,1.467962,9.652128,0.119337,9.763848,89.299698,81.352333
1.8760749,1.442258,9.625429,0.100652,9.733402,89.407501,81.478294
1.8810390,1.428199,9.658899,0.257492,9.767312,88.489357,81.588989
1.8860015,1.464600,9.698786,0.099723,9.809253,89.417503,81.412727
1.8909640,1.429999,9.684833,0.145615,9.790918,89.147835,81.600769
1.8959280,1.384605,9.670171,0.211983,9.771093,88.756874,81.851593
