Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.6390003,-1.169492,9.583853,-0.525823,9.669252,93.117332,96.957253
0.6413496,-1.164706,9.607781,-0.487538,9.690392,92.883850,96.911972
0.6436983,-1.174278,9.607781,-0.516252,9.693034,93.053024,96.968216
0.6460475,-1.198206,9.612567,-0.506680,9.700199,92.994148,97.105270
0.6483969,-1.174278,9.655638,-0.506680,9.739968,92.981911,96.934021
0.6507459,-1.145564,9.617352,-0.497109,9.698088,92.938179,96.792740
0.6530954,-1.164706,9.612567,-0.535394,9.697661,93.164825,96.908562
0.6554447,-1.164706,9.617352,-0.497109,9.700368,92.937492,96.905159
0.6577939,-1.150349,9.607781,-0.492323,9.688919,92.912628,96.827583
0.6601433,-1.193420,9.612567,-0.521037,9.700370,93.079018,97.077179
0.6624929,-1.193420,9.612567,-0.530608,9.700889,93.135468,97.077179
0.6648421,-1.207777,9.602996,-0.516252,9.692408,93.053215,97.168503
0.6671911,-1.212563,9.574282,-0.521037,9.664815,93.090355,97.217964
0.6695408,-1.212563,9.564711,-0.511466,9.654822,93.036674,97.225113
0.6718906,-1.198206,9.602996,-0.506680,9.690715,92.997086,97.112274
0.6742396,-1.174278,9.617352,-0.492323,9.701278,92.908913,96.961349
0.6765886,-1.202992,9.602996,-0.506680,9.691307,92.996902,97.140388
0.6789380,-1.188635,9.602996,-0.492323,9.688796,92.912666,97.056038
0.6812873,-1.198206,9.598209,-0.492323,9.685231,92.913734,97.115784
0.6836370,-1.193420,9.622138,-0.473181,9.707404,92.793953,97.070206
0.6859865,-1.217349,9.617352,-0.482752,9.706104,92.850891,97.214043
0.6883357,-1.188635,9.612567,-0.477966,9.697564,92.825096,97.049080
0.6906852,-1.159921,9.588638,-0.492323,9.671080,92.918007,96.897453
0.6930348,-1.183849,9.583853,-0.477966,9.668515,92.833588,97.041809
0.6953838,-1.202992,9.598209,-0.492323,9.685824,92.913559,97.143913
0.6977329,-1.183849,9.593424,-0.501895,9.679214,92.972282,97.034859
0.7000821,-1.207777,9.593424,-0.511466,9.682671,93.027931,97.175575
0.7024314,-1.179063,9.588638,-0.501895,9.673886,92.973923,97.010162
0.7047806,-1.207777,9.612567,-0.501895,9.701138,92.965561,97.161438
0.7071301,-1.183849,9.583853,-0.482752,9.668753,92.861916,97.041809
0.7094795,-1.179063,9.602996,-0.511466,9.688618,93.026070,96.999786
0.7118287,-1.202992,9.588638,-0.506680,9.677081,93.001312,97.150970
0.7141776,-1.150349,9.588638,-0.506680,9.670678,93.003296,96.841080
0.7165266,-1.179063,9.607781,-0.511466,9.693361,93.024590,96.996338
0.7188756,-1.193420,9.612567,-0.521037,9.700370,93.079018,97.077179
0.7212250,-1.188635,9.598209,-0.525823,9.685813,93.112000,97.059525
0.7235742,-1.198206,9.631709,-0.530608,9.720446,93.129150,97.091293
0.7259234,-1.179063,9.641280,-0.544965,9.728384,93.211281,96.972267
0.7282726,-1.174278,9.622138,-0.516252,9.707265,93.048538,96.957924
0.7306219,-1.169492,9.617352,-0.482752,9.700218,92.852623,96.933258
0.7329711,-1.193420,9.626924,-0.492323,9.713099,92.905373,97.066727
0.7353206,-1.207777,9.622138,-0.501895,9.710621,92.962662,97.154388
0.7376698,-1.198206,9.602996,-0.501895,9.690466,92.968826,97.112274
0.7400188,-1.198206,9.593424,-0.506680,9.681230,93.000023,97.119301
0.7423681,-1.193420,9.602996,-0.506680,9.690125,92.997269,97.084160
0.7447172,-1.193420,9.598209,-0.501895,9.685132,92.970467,97.087654
0.7470672,-1.222134,9.588638,-0.506680,9.679480,93.000565,97.263557
0.7494169,-1.202992,9.574282,-0.516252,9.663363,93.062401,97.161583
0.7517664,-1.217349,9.593424,-0.516252,9.684123,93.055832,97.231842
0.7541160,-1.241277,9.617352,-0.511466,9.710605,93.019218,97.354301
0.7564653,-1.222134,9.612567,-0.530608,9.704463,93.134308,97.245667
0.7588147,-1.183849,9.607781,-0.525823,9.694713,93.109138,97.024452
0.7611639,-1.183849,9.617352,-0.506680,9.703179,92.993233,97.017525
0.7635127,-1.188635,9.617352,-0.516252,9.704269,93.049484,97.045609
0.7658621,-1.193420,9.593424,-0.525823,9.681660,93.113335,97.091156
0.7682115,-1.174278,9.598209,-0.521037,9.683803,93.084290,96.975098
0.7705604,-1.169492,9.602996,-0.501895,9.686957,92.969902,96.943520
0.7729098,-1.169492,9.579067,-0.511466,9.663738,93.033875,96.960701
0.7752588,-1.188635,9.617352,-0.530608,9.705044,93.134125,97.045609
0.7776082,-1.226920,9.598209,-0.506680,9.689566,92.997437,97.284500
0.7799576,-1.183849,9.593424,-0.487538,9.678480,92.887405,97.034859
0.7823070,-1.159921,9.607781,-0.497109,9.690304,92.940544,96.883842
0.7846562,-1.155135,9.607781,-0.477966,9.688769,92.827660,96.855713
0.7870057,-1.169492,9.626924,-0.501895,9.710678,92.962639,96.926430
0.7893554,-1.159921,9.617352,-0.501895,9.700040,92.965897,96.877060
0.7917048,-1.135993,9.626924,-0.501895,9.706700,92.963860,96.729874
0.7940552,-1.159921,9.602996,-0.497109,9.685559,92.941986,96.887245
0.7964048,-1.164706,9.598209,-0.492323,9.681145,92.914970,96.918800
0.7987544,-1.188635,9.612567,-0.506680,9.699021,92.994514,97.049080
0.8011039,-1.183849,9.598209,-0.506680,9.684206,92.999100,97.031387
0.8034531,-1.202992,9.602996,-0.511466,9.691559,93.025154,97.140388
0.8058021,-1.222134,9.607781,-0.506680,9.698443,92.994690,97.249237
0.8081511,-1.231705,9.622138,-0.497109,9.713380,92.933548,97.294617
0.8105003,-1.202992,9.612567,-0.501895,9.700542,92.965736,97.133354
0.8128494,-1.222134,9.622138,-0.497109,9.712172,92.933914,97.238533
0.8151982,-1.202992,9.607781,-0.477966,9.694592,92.825966,97.136871
0.8175476,-1.174278,9.588638,-0.497109,9.673057,92.945793,96.981995
0.8198973,-1.207777,9.617352,-0.521037,9.706888,93.076950,97.157913
0.8222469,-1.198206,9.617352,-0.492323,9.704203,92.908035,97.101768
0.8245964,-1.193420,9.602996,-0.516252,9.690630,93.053780,97.084160
