Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.7881783,1.270950,9.876000,1.282950,10.039754,82.658272,82.666870
0.7928413,1.290000,9.886050,1.290000,10.052969,82.627457,82.565659
0.7975062,1.267950,9.871051,1.273050,10.033245,82.710480,82.680359
0.8021705,1.276050,9.865951,1.282950,10.030516,82.651474,82.630348
0.8068354,1.285050,9.853951,1.297050,10.021678,82.563667,82.570007
0.8114979,1.279950,9.856951,1.327950,10.028021,82.390312,82.601395
0.8161622,1.276050,9.852000,1.282950,10.016794,82.641350,82.620026
0.8208274,1.278000,9.856951,1.315950,10.026190,82.458099,82.612541
0.8254904,1.294950,9.856951,1.321050,10.029035,82.430855,82.515671
0.8301540,1.303950,9.852000,1.314000,10.024409,82.467995,82.460503
0.8348187,1.300050,9.856951,1.303950,10.027457,82.528214,82.486526
0.8394839,1.303950,9.859051,1.297050,10.029133,82.569221,82.465836
0.8441494,1.291950,9.871051,1.288050,10.038219,82.627792,82.543358
0.8488128,1.312050,9.864000,1.300050,10.035442,82.556648,82.423332
0.8534768,1.288050,9.864000,1.300050,10.032333,82.554329,82.560364
0.8581411,1.276050,9.859051,1.300050,10.025932,82.549553,82.625244
0.8628039,1.257000,9.859051,1.314000,10.025344,82.468697,82.734154
0.8674681,1.254000,9.856951,1.306950,10.021981,82.506813,82.749786
0.8721330,1.230000,9.862050,1.303950,10.023633,82.525345,82.890755
0.8767980,1.209000,9.850051,1.290000,10.007462,82.593750,83.002487
0.8814624,1.221000,9.862050,1.267950,10.017913,82.728668,82.942245
0.8861254,1.218000,9.862050,1.278000,10.018825,82.671387,82.959412
0.8907890,1.234950,9.877951,1.282950,10.037179,82.656380,82.873802
0.8954533,1.240050,9.864000,1.288050,10.024734,82.617821,82.834663
0.9001155,1.230000,9.868951,1.290000,10.028619,82.609459,82.895668
0.9047788,1.237050,9.877951,1.290000,10.038342,82.616661,82.861816
0.9094419,1.234950,9.871051,1.290000,10.031293,82.611443,82.868874
0.9141060,1.228050,9.874050,1.285050,10.032763,82.641037,82.910446
0.9187708,1.221000,9.883051,1.282950,10.040493,82.658813,82.957092
0.9234352,1.240050,9.883051,1.278000,10.042196,82.688538,82.848335
0.9280996,1.240050,9.868951,1.285050,10.029221,82.638420,82.838226
0.9327648,1.245000,9.856951,1.279950,10.017374,82.659081,82.801270
