Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.5660139,0.959821,9.760623,1.000798,9.858631,84.173584,84.383820
0.5685299,0.943071,9.700802,0.969691,9.794654,84.318291,84.447395
0.5710459,0.916750,9.698409,0.960120,9.788840,84.371201,84.600113
0.5735828,0.974178,9.698409,0.952942,9.793684,84.416191,84.264038
0.5760993,0.928714,9.739087,0.936192,9.827959,84.533829,84.552773
0.5786158,0.931107,9.741480,0.926621,9.829650,84.590813,84.540161
0.5811324,0.981356,9.719945,0.907478,9.811418,84.693008,84.234772
0.5836490,0.974178,9.693624,0.917049,9.785517,84.622635,84.261230
0.5861655,0.935893,9.705587,0.962513,9.797997,84.362419,84.492096
0.5886821,0.931107,9.719945,0.938585,9.809446,84.509445,84.528137
0.5911986,0.935893,9.705587,0.948156,9.796597,84.445976,84.492096
0.5937161,0.952643,9.724730,0.945763,9.816943,84.471558,84.405113
0.5962328,0.895215,9.734302,0.893121,9.816094,84.779701,84.745575
0.5987493,0.907179,9.715159,0.919442,9.800647,84.616913,84.665321
0.6012658,0.900000,9.712767,0.917049,9.797388,84.629173,84.706001
0.6037825,0.911965,9.710373,0.940978,9.798390,84.489174,84.634720
0.6062990,0.859023,9.727123,0.984048,9.814439,84.245544,84.953178
0.6088156,0.844666,9.722338,0.902692,9.800620,84.715248,85.034668
0.6113321,0.921536,9.707980,0.929013,9.795774,84.557991,84.577415
0.6138329,0.902393,9.698409,0.984048,9.789883,84.231064,84.684189
0.6163491,0.878465,9.710373,0.933799,9.794642,84.529243,84.830711
0.6188653,0.863809,9.715159,0.945763,9.799232,84.461533,84.918991
0.6213815,0.876072,9.698409,0.900300,9.779427,84.717842,84.838394
0.6238977,0.883251,9.705587,0.943370,9.791246,84.471069,84.800156
0.6264138,0.863809,9.712767,0.933799,9.795712,84.529839,84.917747
0.6289300,0.856631,9.727123,0.940978,9.810004,84.495712,84.967163
0.6314462,0.873679,9.748658,0.933799,9.832173,84.550186,84.878807
0.6339477,0.868595,9.729516,0.914656,9.810940,84.650650,84.898491
0.6364635,0.890429,9.734302,0.938585,9.819900,84.515305,84.773506
0.6389793,0.868595,9.753445,0.948156,9.837842,84.469337,84.910942
0.6414951,0.871287,9.722338,0.926621,9.805183,84.577278,84.879005
0.6440109,0.863809,9.734302,0.943370,9.817981,84.486176,84.928932
0.6465268,0.861416,9.746265,0.943370,9.829633,84.492729,84.949081
0.6490426,0.885643,9.734302,0.957727,9.821316,84.403900,84.801445
0.6515584,0.856631,9.768100,0.957727,9.852250,84.421524,84.988167
0.6540927,0.849452,9.729516,0.943370,9.811982,84.482788,85.010345
0.6566089,0.861416,9.736694,0.967299,9.822470,84.348457,84.944145
0.6591252,0.818345,9.748658,0.952942,9.829248,84.436462,85.201591
0.6616415,0.859023,9.748658,0.962513,9.833651,84.382927,84.964272
0.6641578,0.866202,9.743873,0.952942,9.828604,84.436096,84.919930
0.6666740,0.856631,9.743873,0.967299,9.829168,84.352325,84.975769
0.6691903,0.878465,9.741480,0.960120,9.828019,84.393715,84.847130
0.6717066,0.888036,9.768100,0.936192,9.852961,84.547745,84.805412
0.6742459,0.854238,9.743873,0.924228,9.824814,84.602158,84.989731
0.6767626,0.888036,9.743873,0.924228,9.827810,84.603813,84.792564
0.6792795,0.926321,9.727123,0.905085,9.812960,84.707878,84.560081
0.6817964,0.892822,9.722338,0.881157,9.802929,84.842888,84.753128
0.6843132,0.895215,9.698409,0.873978,9.778772,84.872345,84.726242
0.6868301,0.914357,9.743873,0.931406,9.830901,84.563492,84.639107
0.6893470,0.914357,9.770494,0.919442,9.856164,84.647324,84.653633
0.6918638,0.880858,9.748658,0.905085,9.830129,84.717148,84.836952
0.6943414,0.911965,9.763016,0.924228,9.848977,84.615440,84.663483
0.6968573,0.923929,9.691231,0.897907,9.776494,84.730331,84.554077
0.6993732,0.892822,9.719945,0.912264,9.803402,84.660568,84.751846
0.7018891,0.928714,9.724730,0.940978,9.814190,84.498070,84.544785
0.7044049,0.964607,9.710373,0.948156,9.804122,84.450256,84.326981
0.7069208,0.916750,9.739087,0.945763,9.827752,84.477654,84.622536
0.7094367,0.923929,9.719945,0.921835,9.807178,84.606468,84.570068
0.7119526,0.945464,9.731909,0.924228,9.821311,84.600227,84.451073
0.7144866,0.935893,9.681660,0.919442,9.770148,84.600060,84.478569
0.7170029,0.907179,9.724730,0.960120,9.814030,84.385696,84.670540
0.7195193,0.900000,9.684052,0.976870,9.774719,84.264374,84.690392
0.7220356,0.947857,9.691231,0.938585,9.782603,84.494331,84.413918
0.7245519,0.904786,9.700802,0.936192,9.787781,84.511322,84.671486
0.7270682,0.904786,9.688838,0.931406,9.775466,84.532562,84.664940
0.7295846,0.914357,9.698409,0.926621,9.785388,84.566277,84.614128
0.7321008,0.895215,9.698409,0.888335,9.780066,84.788574,84.726242
0.7346162,0.909572,9.717552,0.929013,9.804143,84.562653,84.652641
0.7371325,0.900000,9.696016,0.952942,9.784213,84.410767,84.696907
0.7396488,0.914357,9.736694,0.929013,9.823560,84.573433,84.635178
0.7421651,0.919143,9.693624,0.931406,9.781548,84.535973,84.583443
0.7446815,0.888036,9.693624,0.929013,9.778446,84.548325,84.765724
0.7471977,0.880858,9.691231,0.924228,9.774971,84.574554,84.806526
0.7497140,0.866202,9.691231,0.926621,9.773888,84.559860,84.892479
0.7522303,0.883251,9.696016,0.926621,9.780158,84.563362,84.795052
0.7547522,0.880858,9.681660,0.931406,9.766164,84.527344,84.801422
0.7572687,0.863809,9.705587,0.950549,9.790206,84.428268,84.914009
0.7597851,0.868595,9.748658,0.952942,9.833559,84.438904,84.908455
0.7623016,0.861416,9.722338,0.955334,9.807066,84.409790,84.936714
0.7648180,0.827917,9.746265,0.917049,9.824262,84.643906,85.144547
0.7673344,0.803988,9.729516,0.936192,9.807464,84.522369,85.276154
0.7698509,0.830309,9.739087,0.945763,9.820066,84.473320,85.127014
0.7723674,0.839881,9.736694,0.957727,9.819667,84.402954,85.069908
0.7748790,0.837488,9.746265,0.950549,9.828257,84.449913,85.088692
0.7773952,0.796810,9.763016,0.986441,9.845021,84.249489,85.334137
0.7799115,0.784846,9.768100,1.003191,9.850794,84.154945,85.406273
0.7824279,0.813560,9.751051,0.948156,9.830762,84.465340,85.230682
0.7849442,0.815953,9.760623,0.907478,9.836618,84.706650,85.221390
0.7874605,0.835095,9.789636,0.914656,9.867672,84.681496,85.124245
0.7899769,0.787239,9.784850,0.912264,9.858766,84.690643,85.400185
0.7924932,0.796810,9.768100,0.921835,9.843802,84.626595,85.336555
0.7950035,0.815953,9.741480,0.938585,9.820547,84.515671,85.212044
0.7975197,0.835095,9.799207,0.955334,9.881017,84.451759,85.128983
