X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-0.88305,9.38595,2.18295,9.676834,76.962708,95.374687,0.073579,9.504591,1.384248,9.605145,81.713951,89.556458,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.28695,9.36795,1.79805,10.089376,79.73436,109.334534,-0.217959,9.709332,-0.708061,9.737555,94.169914,91.28598,-1.528415,9.622138,-0.315254,9.74787,91.853317,99.025665
-0.88095,9.38595,2.202,9.680957,76.852608,95.361977,0.071186,9.573982,1.405783,9.676902,81.646965,89.57399,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.31095,9.364051,1.79805,10.093603,79.738701,109.472626,-0.28581,9.680906,-0.451451,9.695641,92.668785,91.691055,-1.533201,9.617352,-0.32004,9.744055,91.882195,99.057884
-0.936,9.451051,2.23305,9.756278,76.768661,95.655937,0.071186,9.650553,1.479961,9.763633,81.281563,89.57737,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.261,9.342,1.78305,10.054172,79.784889,109.2425,-0.369138,9.694458,-0.338205,9.707376,91.99659,92.180611,-1.557129,9.583853,-0.324826,9.714957,91.916077,99.228447
-0.948,9.432,2.22105,9.736241,76.813477,95.739464,0.025424,9.736694,1.475175,9.847842,81.38485,89.850395,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.25095,9.358951,1.77795,10.065771,79.826279,109.155319,-0.417089,9.681816,-0.326205,9.696284,91.927925,92.466759,-1.557129,9.559925,-0.324826,9.691354,91.920746,99.251152
-0.91905,9.451051,2.175,9.741542,77.098793,95.554161,0.054138,9.789636,1.470389,9.899593,81.458237,89.683151,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.258,9.37605,1.788,10.085724,79.788612,109.161377,-0.422385,9.640635,-0.295148,9.654397,91.751877,92.508698,-1.537987,9.559925,-0.363111,9.689655,92.147606,99.139351
-0.92205,9.40995,2.18295,9.703742,76.999496,95.596359,0.061316,9.854242,1.405783,9.954199,81.881256,89.643494,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.29205,9.382951,1.77795,10.101409,79.862556,109.333649,-0.394919,9.651342,-0.297992,9.664014,91.767006,92.343155,-1.499702,9.550353,-0.372682,9.674567,92.207687,98.924339
-0.89805,9.424951,2.17305,9.713822,77.073143,95.442955,0.011067,9.921241,1.424926,10.023051,81.826859,89.936089,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.35895,9.373051,1.776,10.113892,79.886421,109.715775,-0.390734,9.6919,-0.385016,9.707412,92.273064,92.308655,-1.504487,9.550353,-0.372682,9.67531,92.207512,98.952354
-0.87405,9.393001,2.151,9.675703,77.155289,95.316254,0.011067,10.00499,1.427319,10.106294,81.880936,89.936623,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.42105,9.379951,1.776,10.141067,79.913803,110.037895,-0.38336,9.741164,-0.287773,9.752952,91.690834,92.253693,-1.52363,9.526425,-0.39661,9.655647,92.354111,99.086769
-0.879,9.39105,2.15595,9.67536,77.124756,95.34729,-0.03679,10.019346,1.396212,10.116227,82.066879,90.210381,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.50205,9.36795,1.77405,10.157269,79.941231,110.497406,-0.467683,9.722077,-0.114644,9.733995,90.674828,92.754105,-1.537987,9.559925,-0.382253,9.690392,92.260712,99.139351
-0.831,9.39105,2.14395,9.668449,77.188332,95.056847,-0.082253,10.115358,1.367498,10.207707,82.301094,90.465889,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.58395,9.366,1.776,10.184343,79.957108,110.939621,-0.465998,9.713515,-0.204321,9.726833,91.203636,92.746613,-1.566701,9.478569,-0.296112,9.611738,91.765411,99.38549
-0.843,9.369,2.151,9.649643,77.120003,95.141487,-0.07986,10.144073,1.298106,10.227104,82.707886,90.451057,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.63195,9.328051,1.78605,10.168262,79.883545,111.273842,-0.437564,9.766896,-0.100767,9.777212,90.590523,92.565178,-1.691127,9.535996,-0.324826,9.690235,91.920967,100.056366
-0.83805,9.38595,2.154,9.666339,77.12439,95.10228,-0.101396,10.084252,1.293321,10.167355,82.691994,90.57608,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.624,9.285001,1.78095,10.125038,79.869217,111.321045,-0.427758,9.772231,-0.166225,9.783001,90.973572,92.506393,-1.825125,9.593424,-0.39661,9.773544,92.325699,100.77166
-0.828,9.38895,2.142,9.66572,77.19651,95.03981,-0.075075,10.033704,1.298106,10.117605,82.628532,90.428696,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.55995,9.25605,1.82595,10.083739,79.567406,111.03714,-0.346135,9.79783,-0.262031,9.807443,91.530983,92.023285,-1.844268,9.631709,-0.449252,9.816974,92.622932,100.839722
-0.81195,9.38895,2.13195,9.662136,77.252785,94.942604,-0.03679,9.916455,1.261915,9.996492,82.747871,90.212563,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.51195,9.261001,1.88895,10.083058,79.202469,110.767693,-0.13328,9.792841,-0.289689,9.798032,91.694252,90.779747,-1.834697,9.593424,-0.425324,9.776543,92.493416,100.826813
-0.843,9.372001,2.13,9.647899,77.245537,95.139854,-0.032004,9.806385,1.242772,9.884871,82.77739,90.186989,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.498,9.27495,1.86195,10.086008,79.361763,110.663712,0.139237,9.798844,-0.232123,9.802582,91.356873,89.185905,-1.782055,9.550353,-0.32004,9.720463,91.886765,100.569595
-0.85005,9.39105,2.13195,9.667452,77.259918,95.17215,0.049352,9.7681,1.266701,9.850012,82.611366,89.710526,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.486,9.306001,1.77105,10.094081,79.894905,110.535797,0.238012,9.783561,-0.208784,9.788683,91.22216,88.606392,-1.691127,9.535996,-0.257827,9.68822,91.524956,100.056366
-0.87105,9.37905,2.13,9.657236,77.258072,95.305946,0.05653,9.717552,1.240379,9.796558,82.726044,89.666695,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.45705,9.33495,1.73805,10.105113,80.096046,110.321304,0.276109,9.748672,-0.039945,9.752663,90.234673,88.377663,-1.643271,9.483355,-0.176471,9.626292,91.050415,99.830566
-0.879,9.35295,2.10405,9.626907,77.375572,95.36895,0.042173,9.698409,1.240379,9.777497,82.711784,89.750854,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.378,9.36795,1.75695,10.112184,79.994316,109.828857,0.197694,9.818229,-0.08169,9.820559,90.476608,88.846481,-1.561915,9.459426,-0.037687,9.587582,90.22522,99.375931
-0.90705,9.38595,2.13495,9.668341,77.242882,95.519875,0.102293,9.679267,1.237987,9.758652,82.711792,89.394508,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.31305,9.403951,1.8,10.131662,79.766457,109.40757,0.122554,9.770641,-0.208631,9.773637,91.223145,89.281372,-1.533201,9.363713,0.062812,9.488613,89.62072,99.299011
-0.9,9.393001,2.13495,9.674527,77.251175,95.473145,0.200399,9.617053,1.245165,9.699397,82.624268,88.806252,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.21705,9.385051,1.83405,10.089218,79.52636,108.920921,0.083117,9.739574,-0.299246,9.744525,91.759781,89.511055,-1.557129,9.373284,-0.032901,9.5018,90.198395,99.432076
-0.92205,9.381001,2.14395,9.666947,77.18631,95.613518,0.174078,9.672089,1.264308,9.755925,82.553879,88.968903,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.18195,9.370951,1.81905,10.06223,79.584801,108.755157,0.037225,9.69782,-0.428658,9.70736,92.530891,89.780075,-1.628914,9.397213,-0.248255,9.540576,91.491058,99.833939
-0.90495,9.372001,2.13705,9.655066,77.212265,95.51532,0.214756,9.662517,1.269093,9.747869,82.519318,88.726776,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.198,9.382951,1.79295,10.07381,79.747803,108.820702,-0.031268,9.64736,-0.343147,9.653511,92.037079,90.185699,-1.729413,9.48814,-0.444467,9.654699,92.638618,100.329956
-0.92205,9.369,2.13495,9.653308,77.222679,95.620667,0.231506,9.667302,1.214058,9.745987,82.84407,88.628181,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.198,9.36795,1.776,10.056832,79.82843,108.848709,0.036737,9.709867,-0.339373,9.715866,92.00174,89.783226,-1.695913,9.593424,-0.487538,9.754363,92.864922,100.025101
-0.924,9.37395,2.118,9.654566,77.327492,95.629517,0.262612,9.674481,1.230808,9.755995,82.752296,88.445099,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.20505,9.382951,1.80705,10.078568,79.671227,108.859261,0.05409,9.746354,-0.386913,9.754181,92.273308,89.68203,-1.542772,9.665209,-0.35354,9.793947,92.068695,99.069115
-0.92895,9.39795,2.10105,9.674648,77.457092,95.645126,0.353839,9.662517,1.290928,9.754789,82.395294,87.902779,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.213,9.373051,1.76895,10.06512,79.877663,108.921265,0.040625,9.737171,-0.483878,9.749271,92.844887,89.760956,-1.408774,9.717851,-0.24347,9.822451,91.420341,98.248573
-0.93105,9.38895,2.118,9.669806,77.347801,95.663193,0.286541,9.643374,1.254736,9.728882,82.589905,88.298027,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.27,9.38805,1.78605,10.100413,79.814865,109.204002,0.082935,9.735801,-0.565874,9.752584,93.32634,89.511932,-1.308276,9.756136,-0.229113,9.846129,91.333351,97.637672
